tau,t_nondim,t_days,x,y,z,vx_halo,vy_halo,vz_halo,vx_arr,vy_arr,vz_arr,delta_v_nondim,delta_v_m_s,C_halo,C_arr,delta_C,dist_from_moon_km,dist_from_l2_km,valid
0.056,0.19008619208666933,0.8254454588639549,1.1116518606929546,0.03723305843160677,0.031053091260473068,0.0067023999711443944,0.1829589527720238,-0.040087120043367244,0.212231111221691,0.007031496864085759,0.005864404457110898,0.2744158586788819,281.15190503778547,3.141218919916296,3.131218919916296,0.009999999999999787,51108.78147239264,25175.30151599561,True
0.057,0.19348058837393126,0.8401855563436683,1.111674944757599,0.03785296796977616,0.03091597337244624,0.006899450653841672,0.18229419426861487,-0.0407028255616361,0.21177976985902103,0.0071332183159954375,0.00582597347962897,0.27353654570187275,280.25100769241783,3.141218919916295,3.131218919916295,0.009999999999999787,51172.00910575258,25280.779870097434,True
0.058,0.19687498466119321,0.8549256538233818,1.1116987035219201,0.03847060567028221,0.03077677361351608,0.007099938938031639,0.18162039108370517,-0.04131376477101886,0.21132293769259852,0.007233818178226411,0.005787108899213189,0.27264666205645144,279.3392802019708,3.1412189199162923,3.1312189199162925,0.009999999999999787,51236.12688625306,25387.114858687168,True
0.059000000000000004,0.20026938094845517,0.8696657513030954,1.1117231486697163,0.03908594103152416,0.03063550823197503,0.007303873466338222,0.18093766087787447,-0.04191989696896839,0.21086072864683933,0.007333288221614,0.005747821486490654,0.2717463576188247,278.41687612164054,3.14121891991629,3.1312189199162903,0.009999999999999787,51301.1241627888,25494.2696808029,True
0.06,0.2036637772357171,0.8844058487828088,1.111748291910839,0.039698943951618104,0.030492193611457063,0.007511260949712729,0.18024612149623626,-0.042521183112257076,0.21039325731981826,0.007431620682057062,0.005708122033683371,0.2708357842265931,277.4839510161633,3.141218919916285,3.1312189199162854,0.009999999999999787,51366.990206718125,25602.20787283009,True
0.061,0.20705817352297906,0.8991459462625223,1.11177414497467,0.040309584728922467,0.030346846265321737,0.007722106185798777,0.17954589090892717,-0.04311758580595865,0.20992063893801527,0.007528808259224756,0.005668021348774776,0.2699150956058584,276.5406623851331,3.141218919916283,3.131218919916283,0.009999999999999787,51433.71421596138,25710.893322704786,True
0.062,0.21045256981024102,0.9138860437422358,1.1118007196036548,0.04091783406236227,0.030199482831082584,0.007936412078605683,0.17883708715290722,-0.043709069291398235,0.20944298931176458,0.0076248441149937745,0.00562753024975589,0.2689844472986882,275.58716958868627,3.1412189199162825,3.1312189199162828,0.009999999999999787,51501.28531906681,25820.290283044527,True
0.063,0.21384696609750298,0.9286261412219493,1.1118280275469077,0.04152366305155925,0.03005012006487481,0.0081541796593813,0.1781198282750283,-0.044295599433124146,0.20896042479134577,0.007719721871620656,0.005586659558950684,0.2680439965909397,274.6236337735531,3.141218919916283,3.131218919916283,0.009999999999999787,51569.6925792459,25930.36338323738,True
0.064,0.21724136238476494,0.9433662387016628,1.1118560805538995,0.042127043196771144,0.029898774835966486,0.008375408108650404,0.17739423227641377,-0.044877143704932114,0.20847306222376608,0.00781343560965728,0.005545420097424994,0.26709390244052195,273.6502177995594,3.1412189199162825,3.1312189199162828,0.009999999999999787,51638.92499837713,26041.077640523716,True
0.065,0.2206357586720269,0.9581063361813763,1.1118848903682104,0.04272794639864372,0.02974546412132222,0.008600094779377907,0.17666041705823343,-0.0454536711749829,0.20798101891029366,0.007905979865618373,0.005503822679484355,0.26613432540621723,272.66708616670076,3.1412189199162825,3.1312189199162828,0.009999999999999787,51708.97152096953,26152.3984701123,True
0.066,0.22403015495928885,0.9728464336610898,1.1119144687213678,0.0433263449577815,0.029590205000217737,0.008828235221188613,0.17591850036886086,-0.046025152490053754,0.20748441256472325,0.007997349629407395,0.005461878107261815,0.2651654275770826,271.6744049428108,3.141218919916283,3.131218919916283,0.009999999999999787,51779.821038088914,26264.291694362833,True
0.067,0.22742455124655078,0.9875865311408032,1.1119448273267676,0.043922211574141376,0.029433014648909343,0.009059823205587434,0.17516859975244528,-0.04659155985896488,0.20698336127242017,0.008087540341509464,0.005419597165399491,0.2641873725025228,270.6723416919177,3.141218919916283,3.131218919916283,0.009999999999999787,51851.462391242945,26376.723551072857,True
0.068,0.23081894753381274,1.0023266286205168,1.111975977873683,0.044515519346254154,0.02927391033536096,0.009294850752131985,0.17441083249892286,-0.047152867035218905,0.20647798345013263,0.008176547889958084,0.005376990615825742,0.2632003251230717,269.661065403327,3.141218919916283,3.131218919916283,0.009999999999999787,51923.88437622335,26489.660700905057,True
0.069,0.2342133438210747,1.0170667261002302,1.1120079320213634,0.04510624177027884,0.029112909414031413,0.009533308155494708,0.17364531559548294,-0.04770904929889578,0.20596839780660775,0.008264368607084223,0.005334069192630956,0.262204451701962,268.64074642151064,3.141218919916283,3.131218919916283,0.009999999999999787,51997.075746902985,26603.07023399177,True
0.07,0.23760774010833666,1.0318068235799438,1.1120407013932256,0.04569435273889477,0.02895002932072431,0.00977518401336689,0.17287216567950836,-0.04826008343784074,0.20545472330403056,0.008350999266055812,0.005290843597044255,0.2611999197575392,267.6115563768629,3.1412189199162825,3.1312189199162828,0.009999999999999787,52071.02521898641,26716.9196757524,True
0.07100000000000001,0.24100213639559862,1.0465469210596572,1.1120742975711437,0.04627982654003639,0.028785287567503023,0.010020465255147057,0.17209149899300086,-0.04880594772818654,0.20493707912026693,0.008436437077214242,0.005247324492512364,0.2601868979965539,266.57366811735443,3.141218919916282,3.1312189199162823,0.009999999999999787,52145.72147371224,26831.17699195921,True
